fips,population
1001.0,55601
1003.0,218022
1005.0,24881
1007.0,22400
1009.0,57840
1011.0,10138
1013.0,19680
1015.0,114277
1017.0,33615
1019.0,26032
1021.0,44153
1023.0,12841
1025.0,23920
1027.0,13275
1029.0,14987
1031.0,51909
1033.0,54762
1035.0,12277
1037.0,10715
1039.0,36986
1041.0,13824
1043.0,83442
1045.0,48956
1047.0,38310
1049.0,71385
1051.0,81887
1053.0,36748
1055.0,102501
1057.0,16433
1059.0,31363
1061.0,26314
1063.0,8233
1065.0,14726
1067.0,17209
1069.0,104722
1071.0,51736
1073.0,659300
1075.0,13844
1077.0,92387
1079.0,32957
1081.0,163941
1083.0,96174
1085.0,9974
1087.0,18439
1089.0,366519
1091.0,19066
1093.0,29763
1095.0,96109
1097.0,413757
1099.0,21067
1101.0,225763
1103.0,119089
1105.0,9140
1107.0,19938
1109.0,33338
1111.0,22725
1113.0,57781
1115.0,88690
1117.0,215707
1119.0,12691
1121.0,79828
1123.0,40497
1125.0,208911
1127.0,63711
1129.0,16378
1131.0,10627
1133.0,23660
2013.0,3515
2013.0,5723
2016.0,3515
2016.0,5723
2020.0,291538
2050.0,18216
2068.0,2059
2070.0,5000
2090.0,98971
2100.0,2474
2110.0,32113
2122.0,58533
2130.0,13918
2150.0,13345
2158.0,8303
2170.0,107610
2180.0,10008
2185.0,9872
2188.0,7671
2195.0,3221
2198.0,6422
2220.0,8647
2230.0,1148
2240.0,6918
2261.0,9164
2275.0,2503
2290.0,5327
2997.0,877
2998.0,604
4001.0,71818
4003.0,126770
4005.0,142854
4007.0,53889
4009.0,38072
4011.0,9483
4012.0,21098
4013.0,4410824
4015.0,209550
4017.0,110445
4019.0,1039073
4021.0,447138
4023.0,46511
4025.0,231993
4027.0,212128
5001.0,17769
5003.0,20046
5005.0,41619
5007.0,272608
5009.0,37480
5011.0,10897
5013.0,5277
5015.0,28223
5017.0,10438
5019.0,22061
5021.0,14847
5023.0,24965
5025.0,8018
5027.0,23537
5029.0,20891
5031.0,108558
5033.0,63406
5035.0,48342
5037.0,16676
5039.0,7182
5041.0,11512
5043.0,18328
5045.0,124806
5047.0,17810
5049.0,12269
5051.0,99154
5053.0,18188
5055.0,45325
5057.0,21741
5059.0,33701
5061.0,13341
5063.0,37678
5065.0,13593
5067.0,16811
5069.0,68114
5071.0,26742
5073.0,6682
5075.0,16434
5077.0,8985
5079.0,13383
5081.0,12326
5083.0,21737
5085.0,73657
5087.0,16481
5089.0,16722
5091.0,43592
5093.0,41239
5095.0,6900
5097.0,8924
5099.0,8326
5101.0,7805
5103.0,23606
5105.0,10352
5107.0,18029
5109.0,10673
5111.0,23974
5113.0,20049
5115.0,64000
5117.0,8074
5119.0,392680
5121.0,17948
5123.0,25439
5125.0,121421
5127.0,10319
5129.0,7958
5131.0,127753
5133.0,17139
5135.0,17366
5137.0,12457
5139.0,39126
5141.0,16603
5143.0,236961
5145.0,78727
5147.0,6490
5149.0,21535
6001.0,1666753
6003.0,1101
6005.0,39383
6007.0,231256
6009.0,45602
6011.0,21627
6013.0,1150215
6015.0,27828
6017.0,190678
6019.0,994400
6021.0,28047
6023.0,136373
6025.0,181827
6027.0,17987
6029.0,896764
6031.0,151366
6033.0,64382
6035.0,30802
6037.0,10105518
6039.0,157672
6041.0,259666
6043.0,17471
6045.0,87606
6047.0,274765
6049.0,8777
6051.0,14250
6053.0,435594
6055.0,139417
6057.0,99696
6059.0,3185968
6061.0,393149
6063.0,18804
6065.0,2450758
6067.0,1540975
6069.0,61537
6069.0,2171603
6069.0,3343364
6069.0,883305
6069.0,752660
6069.0,284010
6069.0,769545
6071.0,61537
6071.0,2171603
6071.0,3343364
6071.0,883305
6071.0,752660
6071.0,284010
6071.0,769545
6073.0,61537
6073.0,2171603
6073.0,3343364
6073.0,883305
6073.0,752660
6073.0,284010
6073.0,769545
6075.0,61537
6075.0,2171603
6075.0,3343364
6075.0,883305
6075.0,752660
6075.0,284010
6075.0,769545
6077.0,61537
6077.0,2171603
6077.0,3343364
6077.0,883305
6077.0,752660
6077.0,284010
6077.0,769545
6079.0,61537
6079.0,2171603
6079.0,3343364
6079.0,883305
6079.0,752660
6079.0,284010
6079.0,769545
6081.0,61537
6081.0,2171603
6081.0,3343364
6081.0,883305
6081.0,752660
6081.0,284010
6081.0,769545
6083.0,446527
6083.0,1937570
6083.0,274255
6085.0,446527
6085.0,1937570
6085.0,274255
6087.0,446527
6087.0,1937570
6087.0,274255
6089.0,180040
6091.0,2987
6093.0,43724
6095.0,446610
6097.0,499942
6099.0,549815
6101.0,96807
6103.0,63916
6105.0,12535
6107.0,465861
6109.0,54539
6111.0,850967
6113.0,220408
6115.0,78041
8001.0,511868
8003.0,16683
8005.0,651215
8007.0,13765
8009.0,3585
8011.0,5882
8013.0,326078
8014.0,69267
8015.0,20027
8017.0,1876
8019.0,9605
8021.0,8200
8023.0,3828
8025.0,5858
8027.0,4954
8029.0,30953
8031.0,716492
8033.0,2074
8035.0,342776
8037.0,54993
8039.0,26282
8041.0,713856
8043.0,48021
8045.0,59770
8047.0,6121
8049.0,15525
8051.0,17246
8053.0,811
8055.0,6889
8057.0,1399
8059.0,580233
8061.0,1383
8063.0,7163
8065.0,7824
8067.0,56310
8069.0,350518
8071.0,14503
8073.0,5610
8075.0,21528
8077.0,153207
8079.0,776
8081.0,13188
8083.0,26158
8085.0,42214
8087.0,28558
8089.0,18432
8091.0,4833
8093.0,18556
8095.0,4286
8097.0,17950
8099.0,12164
8101.0,167529
8103.0,6336
8103.0,11250
8105.0,6336
8105.0,11250
8107.0,25733
8109.0,6843
8111.0,762
8111.0,8191
8113.0,762
8113.0,8191
8115.0,2303
8117.0,31007
8119.0,25083
8121.0,4909
8123.0,314305
8125.0,10020
9001.0,943823
9003.0,892697
9005.0,181111
9007.0,162682
9009.0,857620
9009.0,266784
9011.0,857620
9011.0,266784
9013.0,150921
9015.0,117027
10001.0,178550
10003.0,559335
10005.0,229286
12001.0,269956
12003.0,28355
12005.0,185287
12007.0,27732
12009.0,596849
12011.0,1951260
12013.0,14587
12015.0,184998
12017.0,147929
12019.0,216072
12021.0,378488
12023.0,70503
12027.0,37489
12029.0,16700
12031.0,950181
12033.0,315534
12035.0,112067
12037.0,11736
12039.0,45894
12041.0,18256
12043.0,13724
12045.0,16164
12047.0,14310
12049.0,27245
12051.0,41556
12053.0,190865
12055.0,105424
12057.0,1436888
12059.0,19477
12061.0,157413
12063.0,48305
12065.0,14288
12067.0,8732
12069.0,356495
12071.0,754610
12073.0,292502
12075.0,40770
12077.0,8457
12079.0,18529
12081.0,394855
12083.0,359977
12085.0,160912
12086.0,2761581
12087.0,75027
12089.0,85832
12091.0,207269
12093.0,41537
12095.0,1380645
12097.0,367990
12099.0,1485941
12101.0,539630
12103.0,975280
12105.0,708009
12107.0,74163
12109.0,254261
12109.0,321128
12111.0,254261
12111.0,321128
12113.0,179349
12115.0,426718
12117.0,467832
12119.0,128754
12121.0,44191
12123.0,21623
12125.0,14940
12127.0,547538
12129.0,32461
12131.0,71375
12133.0,24880
13001.0,18507
13003.0,8297
13005.0,11185
13007.0,3092
13009.0,44823
13011.0,18988
13013.0,80809
13015.0,106408
13017.0,16787
13019.0,19252
13021.0,153095
13023.0,12838
13025.0,18897
13027.0,15513
13029.0,38109
13031.0,77296
13033.0,22423
13035.0,24193
13037.0,6352
13039.0,53677
13043.0,10836
13045.0,118121
13047.0,67420
13049.0,12968
13051.0,289195
13053.0,10684
13055.0,24790
13057.0,254149
13059.0,127330
13061.0,2887
13063.0,289615
13065.0,6648
13067.0,756865
13069.0,43093
13071.0,45592
13073.0,154291
13075.0,17162
13077.0,145864
13079.0,12318
13081.0,22601
13083.0,16226
13085.0,25083
13087.0,26575
13089.0,756558
13091.0,20705
13093.0,13706
13095.0,91243
13097.0,145331
13099.0,10247
13101.0,4000
13103.0,62190
13105.0,19120
13107.0,22612
13109.0,10721
13111.0,25964
13113.0,113459
13115.0,97927
13117.0,236612
13119.0,23023
13121.0,1050114
13123.0,30816
13125.0,2995
13127.0,85219
13129.0,57685
13131.0,24748
13133.0,17698
13135.0,927781
13137.0,45388
13139.0,202148
13141.0,8348
13143.0,29533
13145.0,34475
13147.0,26099
13149.0,11879
13151.0,230220
13153.0,155469
13155.0,9398
13157.0,70422
13159.0,14040
13161.0,15029
13163.0,15430
13165.0,8683
13167.0,9708
13169.0,28616
13171.0,19000
13173.0,10340
13175.0,47325
13177.0,29764
13179.0,61497
13181.0,7915
13183.0,18998
13185.0,116321
13187.0,32955
13189.0,21531
13191.0,14340
13193.0,13143
13195.0,29650
13197.0,8351
13199.0,21068
13201.0,5686
13205.0,22192
13207.0,27520
13209.0,9193
13211.0,18853
13213.0,39921
13215.0,194160
13217.0,109541
13219.0,39272
13221.0,15054
13223.0,164044
13225.0,27297
13227.0,31980
13229.0,19389
13231.0,18634
13233.0,42470
13235.0,11069
13237.0,21809
13239.0,2279
13241.0,16867
13243.0,6833
13245.0,201554
13247.0,90594
13249.0,5236
13251.0,13938
13253.0,8315
13255.0,66100
13257.0,26035
13259.0,6199
13261.0,29733
13263.0,6272
13265.0,1608
13267.0,25391
13269.0,8039
13271.0,15876
13273.0,8611
13275.0,44448
13277.0,40571
13279.0,26887
13281.0,11852
13283.0,6809
13285.0,70034
13287.0,7912
13289.0,8188
13291.0,24001
13293.0,26215
13295.0,69410
13297.0,93503
13299.0,35680
13301.0,5251
13303.0,20386
13305.0,29808
13307.0,2611
13309.0,7879
13311.0,29970
13313.0,104062
13315.0,8812
13317.0,9876
13319.0,9036
13321.0,20299
15001.0,200983
15003.0,980080
15005.0,88
15007.0,72133
15009.0,167207
16001.0,469966
16003.0,4250
16005.0,87138
16007.0,6050
16009.0,9226
16011.0,46236
16013.0,22601
16015.0,7634
16017.0,44727
16019.0,116854
16021.0,11948
16023.0,2611
16025.0,1127
16027.0,223499
16029.0,7060
16031.0,23864
16033.0,852
16035.0,8758
16037.0,4280
16039.0,27259
16041.0,13726
16043.0,13168
16045.0,17634
16047.0,15196
16049.0,16513
16051.0,29439
16053.0,24015
16055.0,161505
16057.0,40134
16059.0,7961
16061.0,3861
16063.0,5360
16065.0,39304
16067.0,20825
16069.0,40408
16071.0,4488
16073.0,11693
16075.0,23551
16077.0,7768
16079.0,12796
16081.0,11640
16083.0,86081
16085.0,11041
16087.0,10161
17001.0,65691
17003.0,6060
17005.0,16630
17007.0,53577
17009.0,6556
17011.0,32993
17013.0,4802
17015.0,14312
17017.0,12260
17019.0,209983
17021.0,32661
17023.0,15596
17025.0,13253
17027.0,37639
17029.0,50885
17031.0,5180493
17033.0,18807
17035.0,10808
17037.0,104143
17039.0,15769
17041.0,19479
17043.0,928589
17045.0,17360
17047.0,6392
17049.0,34208
17051.0,21416
17053.0,13264
17055.0,38701
17057.0,34844
17059.0,5058
17061.0,13044
17063.0,50972
17065.0,8163
17067.0,17844
17069.0,3910
17071.0,6709
17073.0,49090
17075.0,27604
17077.0,57419
17079.0,9611
17081.0,37820
17083.0,21847
17085.0,21366
17087.0,12456
17089.0,534216
17091.0,110024
17093.0,127915
17095.0,50112
17097.0,700832
17099.0,109430
17101.0,15765
17103.0,34223
17105.0,35761
17107.0,28925
17109.0,29955
17111.0,308570
17113.0,172828
17115.0,104712
17117.0,45313
17119.0,264461
17121.0,37620
17123.0,11534
17125.0,13565
17127.0,14080
17129.0,12288
17131.0,15601
17133.0,34335
17135.0,28601
17137.0,33976
17139.0,14717
17141.0,50923
17143.0,180621
17145.0,21174
17147.0,16396
17149.0,15611
17151.0,4212
17153.0,5463
17155.0,5740
17157.0,32106
17159.0,15763
17161.0,143477
17163.0,261059
17165.0,23906
17167.0,195348
17169.0,6907
17171.0,4926
17173.0,21741
17175.0,5427
17177.0,44753
17179.0,132328
17181.0,16841
17183.0,76806
17185.0,11549
17187.0,17032
17189.0,13995
17191.0,16332
17193.0,13665
17195.0,55626
17197.0,692310
17199.0,67056
17201.0,284081
17203.0,38463
18001.0,35636
18003.0,375351
18005.0,82753
18007.0,8653
18009.0,11930
18011.0,66999
18013.0,15234
18015.0,20127
18017.0,37955
18019.0,117360
18021.0,26170
18023.0,32250
18025.0,10558
18027.0,33147
18029.0,49568
18031.0,26794
18033.0,43226
18035.0,114772
18037.0,42565
18039.0,205560
18041.0,23047
18043.0,77781
18045.0,16351
18047.0,22736
18049.0,20092
18051.0,33452
18053.0,65936
18055.0,32006
18057.0,330086
18059.0,76351
18061.0,40350
18063.0,167009
18065.0,48271
18067.0,82366
18069.0,36240
18071.0,44111
18073.0,33370
18075.0,20764
18077.0,32208
18079.0,27611
18081.0,156225
18083.0,36895
18085.0,79344
18087.0,39330
18089.0,484411
18091.0,110007
18093.0,45668
18095.0,129641
18097.0,954670
18099.0,46248
18101.0,10217
18103.0,35567
18105.0,146917
18107.0,38346
18109.0,70116
18111.0,14011
18113.0,47532
18115.0,5844
18117.0,19489
18119.0,20845
18121.0,16927
18123.0,19102
18125.0,12410
18127.0,169594
18129.0,25540
18131.0,12469
18133.0,37779
18135.0,24851
18137.0,28523
18139.0,16663
18141.0,270771
18143.0,23878
18145.0,44593
18147.0,20327
18149.0,22935
18151.0,34586
18153.0,20690
18155.0,10717
18157.0,193048
18159.0,15128
18161.0,7037
18163.0,180974
18165.0,15479
18167.0,107386
18169.0,31280
18171.0,8263
18173.0,62567
18175.0,27943
18177.0,65936
18179.0,28206
18181.0,24133
18183.0,34074
19001.0,7063
19003.0,3645
19005.0,13832
19007.0,12437
19009.0,5506
19011.0,25642
19013.0,132408
19015.0,26346
19017.0,24947
19019.0,21199
19021.0,19874
19023.0,14539
19025.0,9699
19027.0,20154
19029.0,12930
19031.0,18627
19033.0,42647
19035.0,11321
19037.0,11964
19039.0,9423
19041.0,16134
19043.0,17556
19045.0,46518
19047.0,17158
19049.0,90180
19051.0,9017
19053.0,7890
19055.0,17069
19057.0,39138
19059.0,17153
19061.0,96854
19063.0,9253
19065.0,19660
19067.0,15761
19069.0,10124
19071.0,6993
19073.0,8981
19075.0,12304
19077.0,10720
19079.0,14952
19081.0,10712
19083.0,16868
19085.0,14134
19087.0,20067
19089.0,9187
19091.0,9547
19093.0,6841
19095.0,16141
19097.0,19432
19099.0,37147
19101.0,18381
19103.0,151260
19105.0,20744
19107.0,10225
19109.0,14908
19111.0,34055
19113.0,225909
19115.0,11169
19117.0,8645
19119.0,11811
19121.0,16249
19123.0,22000
19125.0,33407
19127.0,39981
19129.0,15063
19131.0,10569
19133.0,8679
19135.0,7790
19137.0,10003
19139.0,42929
19141.0,13840
19143.0,6040
19145.0,15249
19147.0,8929
19149.0,25095
19151.0,6740
19153.0,487204
19155.0,93533
19157.0,18699
19159.0,4968
19161.0,9719
19163.0,173283
19165.0,11578
19167.0,34909
19169.0,98105
19171.0,16904
19173.0,6191
19175.0,12359
19177.0,7020
19179.0,35205
19181.0,51056
19183.0,22141
19185.0,6401
19187.0,36277
19189.0,10518
19191.0,20029
19193.0,102539
19195.0,7453
19197.0,12690
20001.0,12444
20003.0,7878
20005.0,16193
20007.0,4472
20009.0,26111
20011.0,14653
20013.0,9598
20015.0,66765
20017.0,2629
20019.0,3309
20021.0,20015
20023.0,2660
20025.0,2005
20027.0,7997
20029.0,8729
20031.0,8233
20033.0,1748
20035.0,35218
20037.0,39019
20039.0,2871
20041.0,18717
20043.0,7682
20045.0,121436
20047.0,2849
20049.0,2508
20051.0,28710
20053.0,6196
20055.0,36611
20057.0,33888
20059.0,25631
20061.0,32594
20063.0,2612
20065.0,2492
20067.0,7336
20069.0,6033
20071.0,1227
20073.0,6055
20075.0,2607
20077.0,5506
20079.0,34210
20081.0,3997
20083.0,1818
20085.0,13280
20087.0,18975
20089.0,2841
20091.0,597555
20093.0,3943
20095.0,7310
20097.0,2516
20099.0,19964
20101.0,1560
20103.0,81352
20105.0,3023
20107.0,9750
20109.0,2844
20111.0,33406
20113.0,28537
20115.0,11950
20117.0,9722
20119.0,4146
20121.0,33680
20123.0,6150
20125.0,32120
20127.0,5521
20129.0,2667
20131.0,10155
20133.0,15951
20135.0,2840
20137.0,5430
20139.0,15941
20141.0,3475
20143.0,5802
20145.0,6562
20147.0,5317
20149.0,24277
20151.0,9378
20153.0,2508
20155.0,62342
20157.0,4664
20159.0,9531
20161.0,73703
20163.0,5013
20165.0,3093
20167.0,6907
20169.0,54401
20171.0,4897
20173.0,513607
20175.0,21780
20177.0,177499
20179.0,2533
20181.0,5899
20183.0,3603
20185.0,4178
20187.0,1987
20189.0,5559
20191.0,22996
20193.0,7711
20195.0,2793
20197.0,6899
20199.0,1503
20201.0,5420
20203.0,2105
20205.0,8665
20207.0,3183
20209.0,165324
21001.0,19215
21003.0,21122
21005.0,22663
21007.0,7979
21009.0,44176
21011.0,12383
21013.0,26569
21015.0,131533
21017.0,20184
21019.0,47240
21021.0,30100
21023.0,8239
21025.0,12726
21027.0,20388
21029.0,81069
21031.0,12772
21033.0,12715
21035.0,39135
21037.0,93152
21039.0,4771
21041.0,10737
21043.0,27004
21045.0,15888
21047.0,71671
21049.0,36249
21051.0,20105
21053.0,10206
21055.0,8915
21057.0,6659
21059.0,101104
21061.0,12274
21063.0,7508
21065.0,14198
21067.0,323780
21069.0,14432
21071.0,35845
21073.0,50815
21075.0,6120
21077.0,8832
21079.0,17560
21081.0,25121
21083.0,37317
21085.0,26321
21087.0,11049
21089.0,35268
21091.0,8758
21093.0,110356
21095.0,26409
21097.0,18778
21099.0,18906
21101.0,45591
21103.0,16106
21105.0,4421
21107.0,45068
21109.0,13442
21111.0,770517
21113.0,53920
21115.0,22386
21117.0,166051
21119.0,15126
21121.0,31304
21123.0,14307
21125.0,60669
21127.0,15571
21129.0,7033
21131.0,10143
21133.0,21899
21135.0,13257
21137.0,24644
21139.0,9242
21141.0,26989
21143.0,8009
21145.0,65346
21147.0,17408
21149.0,9252
21151.0,92368
21153.0,12362
21155.0,19404
21157.0,31191
